publishedAt,title,description,source,url,text,sentiment_compound
2025-06-17 08:25:00+00:00,Foster Victor Wealth Advisors LLC Has $21.06 Million Stock Position in Alphabet Inc. (NASDAQ:GOOGL),"Foster Victor Wealth Advisors LLC increased its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 8.0% in the 1st quarter, Holdings Channel.com reports. The institutional investor owned 133,996 shares of the information services provider’s stock after…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/17/foster-victor-wealth-advisors-llc-has-21-06-million-stock-position-in-alphabet-inc-nasdaqgoogl/,"Foster Victor Wealth Advisors LLC Has $21.06 Million Stock Position in Alphabet Inc. (NASDAQ:GOOGL) Foster Victor Wealth Advisors LLC increased its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 8.0% in the 1st quarter, Holdings Channel.com reports. The institutional investor owned 133,996 shares of the information services provider’s stock after…",0.9186
2025-06-17 07:53:01+00:00,Atlas Private Wealth Advisors Acquires 640 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Atlas Private Wealth Advisors grew its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 7.8% in the 1st quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 8,794 shares of the information ser…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/17/atlas-private-wealth-advisors-acquires-640-shares-of-alphabet-inc-nasdaqgoogl/,"Atlas Private Wealth Advisors Acquires 640 Shares of Alphabet Inc. (NASDAQ:GOOGL) Atlas Private Wealth Advisors grew its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 7.8% in the 1st quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 8,794 shares of the information ser…",0.9201
2025-06-17 07:52:59+00:00,Pinion Investment Advisors LLC Has $5.18 Million Holdings in Alphabet Inc. (NASDAQ:GOOGL),"Pinion Investment Advisors LLC increased its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 100.6% during the first quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The firm owned 33…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/17/pinion-investment-advisors-llc-has-5-18-million-holdings-in-alphabet-inc-nasdaqgoogl/,"Pinion Investment Advisors LLC Has $5.18 Million Holdings in Alphabet Inc. (NASDAQ:GOOGL) Pinion Investment Advisors LLC increased its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 100.6% during the first quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The firm owned 33…",0.8316
2025-06-17 07:52:55+00:00,Alphabet Inc. (NASDAQ:GOOGL) Shares Acquired by Exchange Traded Concepts LLC,"Exchange Traded Concepts LLC lifted its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 9.7% in the 1st quarter, HoldingsChannel reports. The institutional investor owned 790,182 shares of the information services provider’s stock after ac…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/17/alphabet-inc-nasdaqgoogl-shares-acquired-by-exchange-traded-concepts-llc/,"Alphabet Inc. (NASDAQ:GOOGL) Shares Acquired by Exchange Traded Concepts LLC Exchange Traded Concepts LLC lifted its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 9.7% in the 1st quarter, HoldingsChannel reports. The institutional investor owned 790,182 shares of the information services provider’s stock after ac…",0.836
2025-06-17 07:52:53+00:00,Newport Capital Group LLC Raises Stock Holdings in Alphabet Inc. (NASDAQ:GOOGL),"Newport Capital Group LLC increased its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.4% in the first quarter, HoldingsChannel.com reports. The fund owned 5,940 shares of the information services provider’s stock after buying an additional 81 sh…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/17/newport-capital-group-llc-raises-stock-holdings-in-alphabet-inc-nasdaqgoogl/,"Newport Capital Group LLC Raises Stock Holdings in Alphabet Inc. (NASDAQ:GOOGL) Newport Capital Group LLC increased its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.4% in the first quarter, HoldingsChannel.com reports. The fund owned 5,940 shares of the information services provider’s stock after buying an additional 81 sh…",0.765
2025-06-16 12:32:22+00:00,"Google (GOOGL) Resolves Global Outage That Disrupted Gmail, Cloud, and Partner Apps",,"{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0e4f07ce-f418-45c8-8c68-ebc207ed8165,"Google (GOOGL) Resolves Global Outage That Disrupted Gmail, Cloud, and Partner Apps ",0.1779
2025-06-16 09:32:50+00:00,"Matauro LLC Has $675,000 Stock Position in Alphabet Inc. (NASDAQ:GOOGL)","Matauro LLC raised its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 27.1% in the 1st quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owne…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/16/matauro-llc-has-675000-stock-position-in-alphabet-inc-nasdaqgoogl/,"Matauro LLC Has $675,000 Stock Position in Alphabet Inc. (NASDAQ:GOOGL) Matauro LLC raised its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 27.1% in the 1st quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owne…",0.7717
2025-06-16 09:32:48+00:00,Alphabet Inc. (NASDAQ:GOOGL) is Tritonpoint Wealth LLC’s 6th Largest Position,"Tritonpoint Wealth LLC lessened its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.2% in the 1st quarter, according to the company in its most recent filing with the SEC. The institutional investor owned 154,816 shares of the information services pr…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/16/alphabet-inc-nasdaqgoogl-is-tritonpoint-wealth-llcs-6th-largest-position/,"Alphabet Inc. (NASDAQ:GOOGL) is Tritonpoint Wealth LLC’s 6th Largest Position Tritonpoint Wealth LLC lessened its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.2% in the 1st quarter, according to the company in its most recent filing with the SEC. The institutional investor owned 154,816 shares of the information services pr…",0.8979
2025-06-16 08:20:51+00:00,Farmers & Merchants Investments Inc. Boosts Stake in Alphabet Inc. (NASDAQ:GOOGL),"Farmers & Merchants Investments Inc. lifted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 6.9% in the 1st quarter, Holdings Channel reports. The firm owned 178,351 shares of the information services provider’s stock after acquiring an addition…","{'id': None, 'name': 'ETF Daily News'}",https://www.etfdailynews.com/2025/06/16/farmers-merchants-investments-inc-boosts-stake-in-alphabet-inc-nasdaqgoogl/,"Farmers & Merchants Investments Inc. Boosts Stake in Alphabet Inc. (NASDAQ:GOOGL) Farmers & Merchants Investments Inc. lifted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 6.9% in the 1st quarter, Holdings Channel reports. The firm owned 178,351 shares of the information services provider’s stock after acquiring an addition…",0.7783
2025-06-15 09:47:37+00:00,Potential Alphabet (GOOGL) and OpenAI Deal Could Shift Dynamics in AI Race,"Alphabet Inc. (NASDAQ:GOOGL) is one of the 10 best tech stocks to buy according to billionaires right now. On Tuesday, June 10, Reuters reported that OpenAI ...","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/potential-alphabet-googl-openai-deal-094737884.html,"Potential Alphabet (GOOGL) and OpenAI Deal Could Shift Dynamics in AI Race Alphabet Inc. (NASDAQ:GOOGL) is one of the 10 best tech stocks to buy according to billionaires right now. On Tuesday, June 10, Reuters reported that OpenAI ...",0.743
2025-06-14 00:56:00+00:00,Healthcare Sector Taps AI Boom via Intuitive Surgical Stock (ISRG),"When investors think of artificial intelligence (AI), names like Nvidia (NVDA), Palantir (PLTR), and Alphabet (GOOGL) typically come to mind. But AI’s impact...","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/healthcare-sector-taps-ai-boom-005600144.html,"Healthcare Sector Taps AI Boom via Intuitive Surgical Stock (ISRG) When investors think of artificial intelligence (AI), names like Nvidia (NVDA), Palantir (PLTR), and Alphabet (GOOGL) typically come to mind. But AI’s impact...",0.4215
2025-06-13 22:18:40+00:00,"Google, Scale AI’s largest customer, plans to split away after Meta deal, sources say","Alphabet’s Google GOOGL-Q, the largest customer of Scale AI, plans to cut ties with Scale after news broke that rival Meta is taking a 49 per cent stake in the AI data-labeling startup, five sources familiar with the matter told Reuters.
Google had planned to…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/0e6ae61136dc9060,"Google, Scale AI’s largest customer, plans to split away after Meta deal, sources say Alphabet’s Google GOOGL-Q, the largest customer of Scale AI, plans to cut ties with Scale after news broke that rival Meta is taking a 49 per cent stake in the AI data-labeling startup, five sources familiar with the matter told Reuters.
Google had planned to…",-0.5859
2025-06-13 13:38:34+00:00,Barclays Says Alphabet’s (GOOG) ‘Black Swan Event’ Would Crush Shares 25%,"Key Points
 
 
 
 
Barclays warns that Alphabet (NASDAQ: GOOGL) shares could fall 25% if antitrust litigation forces the company to spin off Chrome, which drives about 30% of its search traffic.
 
 
 
Alphabet faces a second major threat from accelerating ado…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/8be37c5e3deeb8b3,"Barclays Says Alphabet’s (GOOG) ‘Black Swan Event’ Would Crush Shares 25% Key Points
 
 
 
 
Barclays warns that Alphabet (NASDAQ: GOOGL) shares could fall 25% if antitrust litigation forces the company to spin off Chrome, which drives about 30% of its search traffic.
 
 
 
Alphabet faces a second major threat from accelerating ado…",-0.4215
2025-06-13 03:11:01+00:00,Alphabet (GOOGL) Reaffirmed as ‘Overweight’ by Morgan Stanley as Google Appoints New Chief AI Architect,,"{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_da705776-1985-4dec-b487-be0dcde398e2,Alphabet (GOOGL) Reaffirmed as ‘Overweight’ by Morgan Stanley as Google Appoints New Chief AI Architect ,0.0
2025-06-11 23:06:28+00:00,Here's How Much You Would Have Made Owning Alphabet Stock In The Last 15 Years,"Alphabet (NASDAQ:GOOGL) has outperformed the market over the past 15 years by 7.5% on an annualized basis producing an average annual return of 19.35%. Currently, Alphabet has a market capitalization of $2.15 trillion. 
Buying $1000 In GOOGL: If an ...
Full s…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/1df71cfed97d059a,"Here's How Much You Would Have Made Owning Alphabet Stock In The Last 15 Years Alphabet (NASDAQ:GOOGL) has outperformed the market over the past 15 years by 7.5% on an annualized basis producing an average annual return of 19.35%. Currently, Alphabet has a market capitalization of $2.15 trillion. 
Buying $1000 In GOOGL: If an ...
Full s…",0.0
2025-06-11 21:48:49+00:00,Google delivers a harsh message to loyal employees,"When it comes to the jobs everyone wants in the tech field, Google (GOOGL) ranks high on most people's wish lists.
When it was first founded in 1998 by Larry Page and Sergey Brin, Google was one of several search engines on the market, alongside Yahoo, Netsca…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/1c60b91e3a516f45,"Google delivers a harsh message to loyal employees When it comes to the jobs everyone wants in the tech field, Google (GOOGL) ranks high on most people's wish lists.
When it was first founded in 1998 by Larry Page and Sergey Brin, Google was one of several search engines on the market, alongside Yahoo, Netsca…",0.4902
2025-06-11 20:46:04+00:00,Alphabet (GOOGL) Lands Surprise Win as OpenAI Picks Google Cloud for AI Expansion,"Alphabet Inc. (NASDAQ:GOOGL) is one of the 10 AI Stocks on Wall Street’s Radar. On June 10, Reuters reported that OpenAI is planning to add Alphabet Inc...","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/alphabet-googl-lands-surprise-win-204604342.html,"Alphabet (GOOGL) Lands Surprise Win as OpenAI Picks Google Cloud for AI Expansion Alphabet Inc. (NASDAQ:GOOGL) is one of the 10 AI Stocks on Wall Street’s Radar. On June 10, Reuters reported that OpenAI is planning to add Alphabet Inc...",0.7096
2025-06-11 17:55:21+00:00,Google offers buyouts to more workers ahead of court decision that could break up its internet empire,"Google GOOGL-Q has offered buyouts to another swath of its workforce across several key divisions in a fresh round of cost cutting coming ahead of a court decision that could order a breakup of its internet empire. The Mountain View, California, company confi…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/e4bb78e99db54110,"Google offers buyouts to more workers ahead of court decision that could break up its internet empire Google GOOGL-Q has offered buyouts to another swath of its workforce across several key divisions in a fresh round of cost cutting coming ahead of a court decision that could order a breakup of its internet empire. The Mountain View, California, company confi…",0.2023
2025-06-11 14:02:29+00:00,"Google selected by OpenAI for cloud deal, Reuters reports","In This Article:
Microsoft (MSFT)-backed OpenAI plans to add Google’s (GOOGL) cloud service to meet its growing needs for computing capacity, Reuters’ Kenrick Cai and Krystal Hu report, citing three sources. The deal, which has been under discussion for a few…","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/ad0e1bc86838cde9,"Google selected by OpenAI for cloud deal, Reuters reports In This Article:
Microsoft (MSFT)-backed OpenAI plans to add Google’s (GOOGL) cloud service to meet its growing needs for computing capacity, Reuters’ Kenrick Cai and Krystal Hu report, citing three sources. The deal, which has been under discussion for a few…",0.1779
